INFO 2024-10-03 20:59:54,987 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-03 20:59:54,988 autoreload Waiting for apps ready_event.
DEBUG 2024-10-03 20:59:55,371 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-03 20:59:55,415 autoreload Watching dir E:\Users\Administrator\anaconda3\envs\musetalk\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-03 20:59:55,416 autoreload Watching dir F:\AI\torch\MuseTalk-main\slingshot\server\AiShotServer\locale with glob **/*.mo.
DEBUG 2024-10-03 20:59:55,416 autoreload Watching dir F:\AI\torch\MuseTalk-main\slingshot\server\AiShotServer\AiShotServer\locale with glob **/*.mo.
DEBUG 2024-10-03 20:59:55,417 autoreload Watching dir E:\Users\Administrator\anaconda3\envs\musetalk\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-03 20:59:55,418 autoreload Watching dir E:\Users\Administrator\anaconda3\envs\musetalk\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-10-03 20:59:55,487 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-03 20:59:55,491 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-03 20:59:55,906 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\rest_framework\compat.py first seen with mtime 1718812629.3819091
DEBUG 2024-10-03 20:59:55,907 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\certifi\__init__.py first seen with mtime 1716948693.959396
DEBUG 2024-10-03 20:59:55,907 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1725444486.5951507
DEBUG 2024-10-03 20:59:55,908 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1725444486.5671508
DEBUG 2024-10-03 20:59:55,908 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\asyncio\events.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,909 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\rest_framework_simplejwt\authentication.py first seen with mtime 1727952334.8805907
